person_id,表序,表序标签,收录状态,规范名,公主表用名,异名,父亲ID,生母人物ID,生母候选名,生母来源,封号摘要,下嫁摘要,生薨摘要,额驸事略,证据状态,冲突组 ID,排序键,备注
QH-P-000136,1,世宗第一女,未封,世宗第一女（未封）,世宗第一女,懋嫔所出,QH-P-000002,QH-P-000135,懋嫔宋氏,卷166第一女行,未封,,康熙三十三年三月生，未踰月殤,,S二手转述,,01,未封早殇。玉牒未见。
QH-P-000137,2,世宗第二女,入序受封,爱新觉罗氏怀恪公主,世宗第二女,郡君；郡主；和硕怀恪公主,QH-P-000002,QH-P-000039,齐妃李氏,卷166第二女行,初封郡君。進郡主。雍正元年，追進封和碩懷恪公主,康熙五十一年下嫁星德,康熙三十四年七月生，五十六年三月薨，年二十三,星德，納喇氏。雍正十二年，命往違里剛愛操練蒙古兵，乾隆元年召還，四年卒,S二手转述,,02,追进在薨后。不得写成生前进和硕。
QH-P-000138,3,世宗第三女,未封,世宗第三女（未封）,世宗第三女,懋嫔所出,QH-P-000002,QH-P-000135,懋嫔宋氏,卷166第三女行,未封,,康熙四十五年十二月生，未進月殤,,S二手转述,,03,表作未进月殇。
QH-P-000139,4,世宗第四女,未封,世宗第四女（未封）,世宗第四女,敦肃所出,QH-P-000002,QH-P-000038,敦肃皇贵妃年氏,卷166第四女行,未封,,康熙五十四年三月生，五十六年五月殤,,S二手转述,,04,后妃传女一亦殇，应即此行，不另补人。
QH-P-000140,抚1,世宗抚兄理亲王允礽第六女,抚育附列,爱新觉罗氏淑慎公主,世宗撫兄理親王允礽第六女,和硕淑慎公主,QH-P-000004,,,卷166抚育行；生母未记,和碩淑慎公主,雍正四年十二月，下嫁觀音保,康熙四十七年正月生，乾隆四十九年九月薨，年七十七,觀音保，博爾濟吉特氏，科爾沁部人。理藩院額外侍郎。雍正十三年，卒,S二手转述,,11,生父允礽。不得写成世宗第五女。
QH-P-000141,抚2,世宗抚弟怡亲王允祥第四女,抚育附列,爱新觉罗氏和惠公主,世宗撫弟怡親王允祥第四女,和硕和惠公主,QH-P-000011,,,卷166抚育行；生母未记,和碩和惠公主,雍正七年十二月，下嫁多爾濟塞布騰,康熙五十三年十月生，雍正九年十月薨，年十八,多爾濟塞布騰，博爾濟吉特氏，喀爾喀親王丹津多爾濟子。尚主，封世子。以丹津多爾濟冒功，坐削爵。十三年，卒,S二手转述,,12,生父允祥。
QH-P-000142,抚3,世宗抚弟庄亲王允禄第一女,抚育附列,爱新觉罗氏端柔公主,世宗撫弟莊親王允祿第一女,和硕端柔公主,QH-P-000013,,,卷166抚育行；生母未记,和碩端柔公主,雍正八年十二月，下嫁齊默特多爾濟,康熙五十三年二月生，乾隆十九年十二月薨，年四十一,齊默特多爾濟，博爾濟吉特氏，科爾沁郡王羅卜藏喇什子。尚主，襲爵。四十七年卒,S二手转述,,13,生父允禄。
